QUESTION,QUERY
"Get the product_id ,product_name,category_price from product table where the price is more than thousand","SELECT DISTINCT product_id, product_name, category, price FROM product_table WHERE price > 1000 ORDER BY price DESC limit 7"
Retrieve the names and prices of all products in the 'products' table,"SELECT product_name, price FROM product_table"
Get the total number of orders placed,SELECT COUNT(*) AS total_orders FROM order_table
Show the distinct payment methods used by customers,SELECT DISTINCT payment_method FROM transaction_table
Fetch the order date and total amount for orders above $500,"SELECT order_date, total_price FROM order_table WHERE total_price > 500"
List all customers from Adamsbury,SELECT * FROM customer_table WHERE address LIKE '%Adamsbury%
Get the names of all customers from the 'customers' table,"SELECT first_name, last_name FROM customer_table"
Show the total number of orders in the 'orders' table,SELECT COUNT(*) AS total_orders FROM order_table
Fetch the distinct product categories from the 'products' table,SELECT DISTINCT category FROM product_table
Retrieve the order date and total amount for orders over $1000 from the 'orders' table,"SELECT order_date, total_price FROM order_table WHERE total_price > 1000"
List all customers from the 'customers' table who are located in New York,SELECT * FROM customer_table WHERE address LIKE '%New York%'
Get the product names and their prices from the 'products' table where the price is greater than $50,"SELECT product_name, price FROM product_table WHERE price > 50"
Show the order IDs and shipping addresses from the 'orders' table where the order status is 'Shipped',"SELECT o.order_id, c.address AS shipping_address FROM order_table o JOIN customer_table c ON o.customer_id = c.customer_id WHERE o.order_status = 'Shipped'"
"""Fetch the customer names and phone numbers from the 'customers' table where the STATE is 'TEXAS'","SELECT DISTINCT first_name, last_name, address FROM customer_table WHERE address LIKE '%TX%'"
Retrieve the product names and stock quantities from the 'products' table where the stock is less than 10,SELECT * FROM product_table WHERE stock_quantity > 10
"List all orders from the 'orders' table placed after January 1, 2024",SELECT * FROM order_table WHERE order_date > '2024-01-01'
Get the first and last name of customers who have placed more than 5 orders from the 'customers' and 'orders' tables(HIGHEST TO LOWEST ORDERS),"SELECT c.first_name, c.last_name FROM customer_table c JOIN order_table o ON c.customer_id = o.customer_id GROUP BY c.customer_id, c.first_name, c.last_name HAVING COUNT(o.order_id) > 5 ORDER BY COUNT(o.order_id) DESC"
Fetch the product names and their categories for products priced between $20 and $500 from the 'products' table,"SELECT DISTINCT product_name, category, price FROM product_table WHERE price BETWEEN 20 AND 100"
Show the total revenue from the 'orders' table,SELECT SUM(total_price) AS total_revenue FROM order_table
Get the most expensive product from the 'products' table,"SELECT product_name, price FROM product_table WHERE price = (SELECT MAX(price) FROM product_table)"
List the top 5 most recent orders from the 'orders' table,SELECT DISTINCT * FROM order_table ORDER BY order_date DESC LIMIT 5
